"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 19 12:55:57 GMT 2023","Wed Apr 19 12:55:59 GMT 2023","2043","","Tests.TestListingData","","Tests.TestListingData","getTagsFromBlondeSiteTest","TC10 Get tags from BlondeSite test","We compare tags from BlondeSite with txt file."
"failed","Wed Apr 19 12:56:06 GMT 2023","Wed Apr 19 12:56:07 GMT 2023","1471","","Tests.TestTermsAndConditions","","Tests.TestTermsAndConditions","registrationWithRejectedTermsAndConditionsTest","TC13 Registration after Rejected Terms & Conditions test","Visitor open the website for the first time, reject the Terms&Conditions, so visitor cannot register on the website."
"passed","Wed Apr 19 12:56:07 GMT 2023","Wed Apr 19 12:56:08 GMT 2023","854","","Tests.TestTermsAndConditions","","Tests.TestTermsAndConditions","isDisplayedTermsAndConditionsTest","TC12 Terms & Conditions appearance test","Visitor open the website for the first time and Terms&Conditions is displayed on the screen."
"passed","Wed Apr 19 12:56:04 GMT 2023","Wed Apr 19 12:56:06 GMT 2023","1823","","Tests.TestPostsOnBlondeSite","","Tests.TestPostsOnBlondeSite","countPostTitlesTest","TC14 Counting post titles test","We count the posts on the Blonde site."
"passed","Wed Apr 19 12:55:53 GMT 2023","Wed Apr 19 12:55:55 GMT 2023","1792","","Tests.TestLoginLogout","","Tests.TestLoginLogout","logoutTest","TC03 Accepting Terms&Conditions, login and logout test","User accept Terms&Conditions, log in with registered username/password and log out from the site."
"passed","Wed Apr 19 12:56:08 GMT 2023","Wed Apr 19 12:56:23 GMT 2023","14689","","Tests.TestDataInputFromSource","","Tests.TestDataInputFromSource","sequentialRegistrationUsingDataFromJSONFile","TC04 Sequential Registration Using Data From JSON File Test","Sequential registration using data from JSON file."
"failed","Wed Apr 19 12:55:55 GMT 2023","Wed Apr 19 12:55:57 GMT 2023","2126","","Tests.TestNewDataInput","","Tests.TestNewDataInput","sendMessageTest","TC11 Sending message via Contact form test","User send a message via contact form."
"passed","Wed Apr 19 12:56:23 GMT 2023","Wed Apr 19 12:56:26 GMT 2023","2795","","Tests.TestDeleteData","","Tests.TestDeleteData","deleteProfileTest","TC06 Delete account test","User delete account on Profile subpage."
"passed","Wed Apr 19 12:55:49 GMT 2023","Wed Apr 19 12:55:53 GMT 2023","4326","","Tests.TestLoginLogout","","Tests.TestLoginLogout","loginTest","TC02 Login with master username & password after acceptance of the Terms&Conditions test","User accept Terms&Conditions and log in with registered username and password."
"passed","Wed Apr 19 12:55:59 GMT 2023","Wed Apr 19 12:56:01 GMT 2023","1871","","Tests.TestListingData","","Tests.TestListingData","getAgesFromTableTest","TC09 Get ages from table test","We compare ages from table with test data."
"passed","Wed Apr 19 12:56:03 GMT 2023","Wed Apr 19 12:56:04 GMT 2023","1486","","Tests.TestRegistration","","Tests.TestRegistration","registerTest","TC01 Registration test","A new user accept Terms&Conditions and register on the site."
"passed","Wed Apr 19 12:56:28 GMT 2023","Wed Apr 19 12:56:31 GMT 2023","3340","","Tests.TestDownloadData","","Tests.TestDownloadData","savePictureTest","TC07 Save picture test","Save a picture from the Image test post."
"passed","Wed Apr 19 12:56:26 GMT 2023","Wed Apr 19 12:56:28 GMT 2023","2207","","Tests.TestDataModification","","Tests.TestDataModification","modificationProfileTest","TC05 Modify profile data test","User modify profile data on Profile subpage."
"passed","Wed Apr 19 12:56:01 GMT 2023","Wed Apr 19 12:56:03 GMT 2023","1804","","Tests.TestListingData","","Tests.TestListingData","getNamesFromTableTest","TC08 Get names from table test","We compare names from table with txt file."
