"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 16 13:39:01 GMT 2023","Sun Apr 16 13:39:04 GMT 2023","3001","","Tests.TestDownloadData","","Tests.TestDownloadData","savePictureTest","Save picture test","Save a picture from the Image test post."
"passed","Sun Apr 16 13:38:36 GMT 2023","Sun Apr 16 13:38:38 GMT 2023","1531","","Tests.TestListingData","","Tests.TestListingData","getNamesFromTableTest","Get names from table test","We compare names from table with txt file."
"passed","Sun Apr 16 13:38:38 GMT 2023","Sun Apr 16 13:38:39 GMT 2023","1335","","Tests.TestRegistration","","Tests.TestRegistration","registerTest","Registration test","A new user accept Terms&Conditions and register on the site."
"failed","Sun Apr 16 13:38:42 GMT 2023","Sun Apr 16 13:38:43 GMT 2023","1291","","Tests.TestTermsAndConditions","","Tests.TestTermsAndConditions","registrationWithRejectedTermsAndConditionsTest","Registration after Rejected Terms & Conditions test","Visitor open the website for the first time, reject the Terms&Conditions, so visitor cannot register on the website."
"passed","Sun Apr 16 13:38:56 GMT 2023","Sun Apr 16 13:38:59 GMT 2023","2377","","Tests.TestDeleteData","","Tests.TestDeleteData","deleteProfileTest","Delete account test","User delete account on Profile subpage."
"passed","Sun Apr 16 13:38:44 GMT 2023","Sun Apr 16 13:38:56 GMT 2023","12049","","Tests.TestDataInputFromSource","","Tests.TestDataInputFromSource","sequentialRegistrationUsingDataFromJSONFile","Sequential Registration Using Data From JSON File Test","Sequential registration using data from JSON file."
"failed","Sun Apr 16 13:38:39 GMT 2023","Sun Apr 16 13:38:41 GMT 2023","1679","","Tests.TestPostsOnBlondeSite","","Tests.TestPostsOnBlondeSite","comparePostTitlesWithTxtTest","Checking post titles test","We check the post titles in a txt file."
"passed","Sun Apr 16 13:38:20 GMT 2023","Sun Apr 16 13:38:29 GMT 2023","9021","","Tests.TestLoginLogout","","Tests.TestLoginLogout","loginTest","Login with master username & password after acceptance of the Terms&Conditions test","User accept Terms&Conditions and log in with registered username and password."
"passed","Sun Apr 16 13:38:59 GMT 2023","Sun Apr 16 13:39:01 GMT 2023","2026","","Tests.TestDataModification","","Tests.TestDataModification","modificationProfileTest","Modify profile data test","User modify profile data on Profile subpage."
"passed","Sun Apr 16 13:38:41 GMT 2023","Sun Apr 16 13:38:42 GMT 2023","1517","","Tests.TestPostsOnBlondeSite","","Tests.TestPostsOnBlondeSite","countPostTitlesTest","Counting post titles test","We count the posts on the Blonde site."
"passed","Sun Apr 16 13:38:34 GMT 2023","Sun Apr 16 13:38:36 GMT 2023","1601","","Tests.TestListingData","","Tests.TestListingData","getAgesFromTableTest","Get ages from table test","We compare ages from table with test data."
"passed","Sun Apr 16 13:38:29 GMT 2023","Sun Apr 16 13:38:31 GMT 2023","1601","","Tests.TestLoginLogout","","Tests.TestLoginLogout","logoutTest","Accepting Terms&Conditions, login and logout test","User accept Terms&Conditions, log in with registered username/password and log out from the site."
"passed","Sun Apr 16 13:38:43 GMT 2023","Sun Apr 16 13:38:44 GMT 2023","816","","Tests.TestTermsAndConditions","","Tests.TestTermsAndConditions","isDisplayedTermsAndConditionsTest","Terms & Conditions appearance test","Visitor open the website for the first time and Terms&Conditions is displayed on the screen."
"passed","Sun Apr 16 13:38:33 GMT 2023","Sun Apr 16 13:38:34 GMT 2023","1722","","Tests.TestListingData","","Tests.TestListingData","getTagsFromBlondeSiteTest","Get tags from BlondeSite test","We compare tags from BlondeSite with txt file."
"failed","Sun Apr 16 13:38:31 GMT 2023","Sun Apr 16 13:38:33 GMT 2023","2137","","Tests.TestNewDataInput","","Tests.TestNewDataInput","sendMessageTest","Sending message via Contact form test","User send a message via contact form."
