"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sat Apr 15 17:29:15 GMT 2023","Sat Apr 15 17:29:17 GMT 2023","2014","","Tests.TestPostsOnBlondeSite","","Tests.TestPostsOnBlondeSite","comparePostTitlesWithTxtTest","Checking post titles test","We check the post titles in a txt file."
"passed","Sat Apr 15 17:29:20 GMT 2023","Sat Apr 15 17:29:35 GMT 2023","14054","","Tests.TestDataInputFromSource","","Tests.TestDataInputFromSource","sequentialRegistrationUsingDataFromJSONFile","Sequential Registration Using Data From JSON File Test","Sequential registration using data from JSON file."
"passed","Sat Apr 15 17:29:40 GMT 2023","Sat Apr 15 17:29:43 GMT 2023","3305","","Tests.TestDownloadData","","Tests.TestDownloadData","savePictureTest","Save picture test","Save a picture from the Image test post."
"passed","Sat Apr 15 17:29:20 GMT 2023","Sat Apr 15 17:29:20 GMT 2023","805","","Tests.TestTermsAndConditions","","Tests.TestTermsAndConditions","isDisplayedTermsAndConditionsTest","Terms & Conditions appearance test","Visitor open the website for the first time and Terms&Conditions is displayed on the screen."
"passed","Sat Apr 15 17:29:17 GMT 2023","Sat Apr 15 17:29:18 GMT 2023","1685","","Tests.TestPostsOnBlondeSite","","Tests.TestPostsOnBlondeSite","countPostTitlesTest","Counting post titles test","We count the posts on the Blonde site."
"passed","Sat Apr 15 17:29:05 GMT 2023","Sat Apr 15 17:29:07 GMT 2023","1761","","Tests.TestLoginLogout","","Tests.TestLoginLogout","logoutTest","Accepting Terms&Conditions, login and logout test","User accept Terms&Conditions, log in with registered username/password and log out from the site."
"passed","Sat Apr 15 17:29:38 GMT 2023","Sat Apr 15 17:29:40 GMT 2023","2154","","Tests.TestDataModification","","Tests.TestDataModification","modificationProfileTest","Modify profile data test","User modify profile data on Profile subpage."
"passed","Sat Apr 15 17:29:11 GMT 2023","Sat Apr 15 17:29:13 GMT 2023","1733","","Tests.TestListingData","","Tests.TestListingData","getNamesFromTableTest","Get names from table test","We compare names from table with txt file."
"failed","Sat Apr 15 17:29:18 GMT 2023","Sat Apr 15 17:29:20 GMT 2023","1393","","Tests.TestTermsAndConditions","","Tests.TestTermsAndConditions","registrationWithRejectedTermsAndConditionsTest","Registration after Rejected Terms & Conditions test","Visitor open the website for the first time, reject the Terms&Conditions, so visitor cannot register on the website."
"passed","Sat Apr 15 17:29:01 GMT 2023","Sat Apr 15 17:29:05 GMT 2023","4569","","Tests.TestLoginLogout","","Tests.TestLoginLogout","loginTest","Login with master username & password after acceptance of the Terms&Conditions test","User accept Terms&Conditions and log in with registered username and password."
"passed","Sat Apr 15 17:29:10 GMT 2023","Sat Apr 15 17:29:11 GMT 2023","1833","","Tests.TestListingData","","Tests.TestListingData","getAgesFromTableTest","Get ages from table test","We compare ages from table with test data."
"failed","Sat Apr 15 17:29:07 GMT 2023","Sat Apr 15 17:29:10 GMT 2023","2356","","Tests.TestNewDataInput","","Tests.TestNewDataInput","sendMessageTest","Sending message via Contact form test","User send a message via contact form."
"passed","Sat Apr 15 17:29:35 GMT 2023","Sat Apr 15 17:29:38 GMT 2023","3244","","Tests.TestDeleteData","","Tests.TestDeleteData","deleteProfileTest","Delete account test","User delete account on Profile subpage."
"passed","Sat Apr 15 17:29:13 GMT 2023","Sat Apr 15 17:29:15 GMT 2023","1451","","Tests.TestRegistration","","Tests.TestRegistration","registerTest","Registration test","A new user accept Terms&Conditions and register on the site."
