"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Apr 17 00:22:48 GMT 2023","Mon Apr 17 00:22:50 GMT 2023","1943","","Tests.TestListingData","","Tests.TestListingData","getTagsFromBlondeSiteTest","TC10 Get tags from BlondeSite test","We compare tags from BlondeSite with txt file."
"failed","Mon Apr 17 00:22:55 GMT 2023","Mon Apr 17 00:22:57 GMT 2023","1833","","Tests.TestPostsOnBlondeSite","","Tests.TestPostsOnBlondeSite","comparePostTitlesWithTxtTest","TC15 Checking post titles test","We check the post titles in a txt file."
"failed","Mon Apr 17 00:22:58 GMT 2023","Mon Apr 17 00:23:00 GMT 2023","1280","","Tests.TestTermsAndConditions","","Tests.TestTermsAndConditions","registrationWithRejectedTermsAndConditionsTest","TC13 Registration after Rejected Terms & Conditions test","Visitor open the website for the first time, reject the Terms&Conditions, so visitor cannot register on the website."
"passed","Mon Apr 17 00:23:14 GMT 2023","Mon Apr 17 00:23:17 GMT 2023","3148","","Tests.TestDeleteData","","Tests.TestDeleteData","deleteProfileTest","TC06 Delete account test","User delete account on Profile subpage."
"passed","Mon Apr 17 00:23:00 GMT 2023","Mon Apr 17 00:23:14 GMT 2023","13348","","Tests.TestDataInputFromSource","","Tests.TestDataInputFromSource","sequentialRegistrationUsingDataFromJSONFile","TC04 Sequential Registration Using Data From JSON File Test","Sequential registration using data from JSON file."
"passed","Mon Apr 17 00:22:52 GMT 2023","Mon Apr 17 00:22:53 GMT 2023","1716","","Tests.TestListingData","","Tests.TestListingData","getNamesFromTableTest","TC08 Get names from table test","We compare names from table with txt file."
"passed","Mon Apr 17 00:22:57 GMT 2023","Mon Apr 17 00:22:58 GMT 2023","1600","","Tests.TestPostsOnBlondeSite","","Tests.TestPostsOnBlondeSite","countPostTitlesTest","TC14 Counting post titles test","We count the posts on the Blonde site."
"passed","Mon Apr 17 00:23:00 GMT 2023","Mon Apr 17 00:23:00 GMT 2023","866","","Tests.TestTermsAndConditions","","Tests.TestTermsAndConditions","isDisplayedTermsAndConditionsTest","TC12 Terms & Conditions appearance test","Visitor open the website for the first time and Terms&Conditions is displayed on the screen."
"passed","Mon Apr 17 00:23:19 GMT 2023","Mon Apr 17 00:23:22 GMT 2023","3228","","Tests.TestDownloadData","","Tests.TestDownloadData","savePictureTest","TC07 Save picture test","Save a picture from the Image test post."
"passed","Mon Apr 17 00:22:50 GMT 2023","Mon Apr 17 00:22:52 GMT 2023","1778","","Tests.TestListingData","","Tests.TestListingData","getAgesFromTableTest","TC09 Get ages from table test","We compare ages from table with test data."
"failed","Mon Apr 17 00:22:46 GMT 2023","Mon Apr 17 00:22:48 GMT 2023","2391","","Tests.TestNewDataInput","","Tests.TestNewDataInput","sendMessageTest","TC11 Sending message via Contact form test","User send a message via contact form."
"passed","Mon Apr 17 00:22:44 GMT 2023","Mon Apr 17 00:22:46 GMT 2023","1753","","Tests.TestLoginLogout","","Tests.TestLoginLogout","logoutTest","TC03 Accepting Terms&Conditions, login and logout test","User accept Terms&Conditions, log in with registered username/password and log out from the site."
"passed","Mon Apr 17 00:22:53 GMT 2023","Mon Apr 17 00:22:55 GMT 2023","1352","","Tests.TestRegistration","","Tests.TestRegistration","registerTest","TC01 Registration test","A new user accept Terms&Conditions and register on the site."
"passed","Mon Apr 17 00:22:32 GMT 2023","Mon Apr 17 00:22:44 GMT 2023","12172","","Tests.TestLoginLogout","","Tests.TestLoginLogout","loginTest","TC02 Login with master username & password after acceptance of the Terms&Conditions test","User accept Terms&Conditions and log in with registered username and password."
"passed","Mon Apr 17 00:23:17 GMT 2023","Mon Apr 17 00:23:19 GMT 2023","2032","","Tests.TestDataModification","","Tests.TestDataModification","modificationProfileTest","TC05 Modify profile data test","User modify profile data on Profile subpage."
