"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue May 02 20:02:58 GMT 2023","Tue May 02 20:03:00 GMT 2023","1993","","Tests.TestListingData","","Tests.TestListingData","getTagsFromBlondeSiteTest","TC10 Get tags from BlondeSite test","We compare tags from BlondeSite with txt file."
"passed","Tue May 02 20:02:52 GMT 2023","Tue May 02 20:02:55 GMT 2023","3236","","Tests.TestDownloadData","","Tests.TestDownloadData","savePictureTest","TC07 Save picture test","Save a picture from the Image test post."
"passed","Tue May 02 20:03:06 GMT 2023","Tue May 02 20:03:07 GMT 2023","1472","","Tests.TestRegistration","","Tests.TestRegistration","registerTest","TC01 Registration test","A new user accept Terms&Conditions and register on the site."
"failed","Tue May 02 20:02:55 GMT 2023","Tue May 02 20:02:57 GMT 2023","1388","","Tests.TestTermsAndConditions","","Tests.TestTermsAndConditions","registrationWithRejectedTermsAndConditionsTest","TC13 Registration after Rejected Terms & Conditions test","Visitor open the website for the first time, reject the Terms&Conditions, so visitor cannot register on the website."
"passed","Tue May 02 20:03:00 GMT 2023","Tue May 02 20:03:02 GMT 2023","2229","","Tests.TestListingData","","Tests.TestListingData","getAgesFromTableTest","TC09 Get ages from table test","We compare ages from table with test data."
"passed","Tue May 02 20:03:02 GMT 2023","Tue May 02 20:03:03 GMT 2023","1679","","Tests.TestListingData","","Tests.TestListingData","getNamesFromTableTest","TC08 Get names from table test","We compare names from table with txt file."
"passed","Tue May 02 20:03:03 GMT 2023","Tue May 02 20:03:06 GMT 2023","2118","","Tests.TestDataModification","","Tests.TestDataModification","modificationProfileTest","TC05 Modify profile data test","User modify profile data on Profile subpage."
"failed","Tue May 02 20:03:21 GMT 2023","Tue May 02 20:03:23 GMT 2023","1999","","Tests.TestNewDataInput","","Tests.TestNewDataInput","sendMessageTest","TC11 Sending message via Contact form test","User send a message via contact form."
"passed","Tue May 02 20:02:46 GMT 2023","Tue May 02 20:02:48 GMT 2023","1406","","Tests.TestLoginLogout","","Tests.TestLoginLogout","loginTest","TC02 Login with master username & password after acceptance of the Terms&Conditions test","User accept Terms&Conditions and log in with registered username and password."
"passed","Tue May 02 20:02:48 GMT 2023","Tue May 02 20:02:49 GMT 2023","1460","","Tests.TestLoginLogout","","Tests.TestLoginLogout","logoutTest","TC03 Accepting Terms&Conditions, login and logout test","User accept Terms&Conditions, log in with registered username/password and log out from the site."
"passed","Tue May 02 20:03:07 GMT 2023","Tue May 02 20:03:21 GMT 2023","14045","","Tests.TestDataInputFromSource","","Tests.TestDataInputFromSource","sequentialRegistrationUsingDataFromJSONFile","TC04 Sequential Registration Using Data From JSON File Test","Sequential registration using data from JSON file."
"passed","Tue May 02 20:02:49 GMT 2023","Tue May 02 20:02:52 GMT 2023","2726","","Tests.TestDeleteData","","Tests.TestDeleteData","deleteProfileTest","TC06 Delete account test","User delete account on Profile subpage."
"passed","Tue May 02 20:02:57 GMT 2023","Tue May 02 20:02:58 GMT 2023","803","","Tests.TestTermsAndConditions","","Tests.TestTermsAndConditions","isDisplayedTermsAndConditionsTest","TC12 Terms & Conditions appearance test","Visitor open the website for the first time and Terms&Conditions is displayed on the screen."
"passed","Tue May 02 20:02:42 GMT 2023","Tue May 02 20:02:46 GMT 2023","4614","","Tests.TestPostsOnBlondeSite","","Tests.TestPostsOnBlondeSite","countPostTitlesTest","TC14 Counting post titles test","We count the posts on the Blonde site."
