"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Apr 14 22:46:10 GMT 2023","Fri Apr 14 22:46:10 GMT 2023","911","","Tests.TestTermsAndConditions","","Tests.TestTermsAndConditions","isDisplayedTermsAndConditionsTest","Terms & Conditions appearance test","Visitor open the website for the first time and Terms&Conditions is displayed on the screen."
"passed","Fri Apr 14 22:46:14 GMT 2023","Fri Apr 14 22:46:16 GMT 2023","2266","","Tests.TestDataModification","","Tests.TestDataModification","modificationProfileTest","Modify profile data test","User modify profile data on Profile subpage."
"passed","Fri Apr 14 22:46:06 GMT 2023","Fri Apr 14 22:46:08 GMT 2023","1856","","Tests.TestPostsOnBlondeSite","","Tests.TestPostsOnBlondeSite","countPostTitlesTest","Counting post titles test","We count the posts on the Blonde site."
"passed","Fri Apr 14 22:46:02 GMT 2023","Fri Apr 14 22:46:04 GMT 2023","1593","","Tests.TestRegistration","","Tests.TestRegistration","registerTest","Registration test","A new user accept Terms&Conditions and register on the site."
"passed","Fri Apr 14 22:46:11 GMT 2023","Fri Apr 14 22:46:11 GMT 2023","593","","Tests.TestDataInputFromSource","","Tests.TestDataInputFromSource","sequentialRegistrationUsingDataFromJSONFile","Sequential Registration Using JSON File Test","Sequential registration using data from JSON file."
"passed","Fri Apr 14 22:45:49 GMT 2023","Fri Apr 14 22:45:54 GMT 2023","4757","","Tests.TestLoginLogout","","Tests.TestLoginLogout","loginTest","Login with master username & password after acceptance of the Terms&Conditions test","User accept Terms&Conditions and log in with registered username and password."
"passed","Fri Apr 14 22:46:00 GMT 2023","Fri Apr 14 22:46:02 GMT 2023","1849","","Tests.TestListingData","","Tests.TestListingData","getNamesFromTableTest","Get names from table test","We compare names from table with txt file."
"passed","Fri Apr 14 22:45:54 GMT 2023","Fri Apr 14 22:45:56 GMT 2023","1770","","Tests.TestLoginLogout","","Tests.TestLoginLogout","logoutTest","Accepting Terms&Conditions, login and logout test","User accept Terms&Conditions, log in with registered username/password and log out from the site."
"failed","Fri Apr 14 22:46:04 GMT 2023","Fri Apr 14 22:46:06 GMT 2023","2195","","Tests.TestPostsOnBlondeSite","","Tests.TestPostsOnBlondeSite","comparePostTitlesWithTxtTest","Checking post titles test","We check the post titles in a txt file."
"failed","Fri Apr 14 22:45:56 GMT 2023","Fri Apr 14 22:45:58 GMT 2023","2585","","Tests.TestNewDataInput","","Tests.TestNewDataInput","sendMessageTest","Sending message via Contact form test","User send a message via contact form."
"passed","Fri Apr 14 22:46:11 GMT 2023","Fri Apr 14 22:46:14 GMT 2023","2949","","Tests.TestDeleteData","","Tests.TestDeleteData","deleteProfileTest","Delete account test","User delete account on Profile subpage."
"passed","Fri Apr 14 22:45:58 GMT 2023","Fri Apr 14 22:46:00 GMT 2023","2025","","Tests.TestListingData","","Tests.TestListingData","getAgesFromTableTest","Get ages from table test","We compare ages from table with test data."
"failed","Fri Apr 14 22:46:08 GMT 2023","Fri Apr 14 22:46:10 GMT 2023","1569","","Tests.TestTermsAndConditions","","Tests.TestTermsAndConditions","registrationWithRejectedTermsAndConditionsTest","Registration after Rejected Terms & Conditions test","Visitor open the website for the first time, reject the Terms&Conditions, so visitor cannot register on the website."
"passed","Fri Apr 14 22:46:16 GMT 2023","Fri Apr 14 22:46:20 GMT 2023","3553","","Tests.TestDownloadData","","Tests.TestDownloadData","savePictureTest","Save picture test","Save a picture from the Image test post."
